type,location,bedrooms,title,old_price,new_price,pct_change,listing_url
new_listing,Banana Island,4,4 Bedroom Penthouse Akobo Ibadan Oyo 4 Bedroom Penthouse / Flat / Apartment FOR SALE,,380000000,,https://propertypro.ng/agent/middlebrooks-consortium
new_listing,Banana Island,5,5bed Detached+bq.. Old Ikoyi Ikoyi Lagos 5bed Detached+bq.. / House FOR SALE,,5000000000,,https://propertypro.ng/agent/tofade-dolapo
new_listing,Victoria Island,,"Land In Prime Location Measuring 4,176sqm Victoria Island Lagos Land In Prime Location Measuring 4,176sqm / Land FOR Sale",,12500000000,,https://propertypro.ng/agent/quolar-property
price_change,Old Ikoyi,,Vacant Land Old Ikoyi Ikoyi Lagos Vacant Land / Land FOR Sale,2000000000,5400000,-99.7,https://propertypro.ng/agent/saint-joseph-property
new_listing,Old Ikoyi,,"Exclusive Land Opportunity – Cooper Road, Ikoyi Cooper Road, Ikoyi Old Ikoyi Ikoyi Lagos Exclusive Land Opportunity – Cooper Road, Ikoyi / Land FOR Sale",,4300000,,https://propertypro.ng/agent/fizzle-adewale-ventures
new_listing,Old Ikoyi,3,"1 Davian’s Court Luxury 3 Bedroom Residences In Ikoyi 5a Onilegbale Street, Old Ikoyi, Ikoyi, Lagos Old Ikoyi Ikoyi Lagos Davian’s Court Luxury 3 Bedroom Residences In Ikoyi / Flat",,,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-5a-onilegbale-street-old-ikoyi-ikoyi-lagos-old-ikoyi-ikoyi-lagos-2QDFD
new_listing,Old Ikoyi,3,"1 Davian’s Court Luxury 3 Bedroom Residences In Ikoyi 5a Onilegbale Street, Old Ikoyi, Ikoyi, Lagos Old Ikoyi Ikoyi Lagos Davian’s Court Luxury 3 Bedroom Residences In Ikoyi / Flat",,,,https://propertypro.ng/agent/hoy-property
new_listing,Old Ikoyi,,Land Measuring 550sqm Old Ikoyi Ikoyi Lagos Land Measuring 550sqm / Land FOR Sale,,5000000,,https://propertypro.ng/property/1-bedroom-land-for-sale-old-ikoyi-ikoyi-lagos-6PVBP
price_change,Lekki Phase 1,2,Lovely 2 Bedroom Apartment In An Estate Lekki Phase1 Lekki Phase 1 Lekki Lagos Lovely 2 Bedroom Apartment In An Estate / Flat Apartment FOR Sale,25000000,180000000,620.0,https://propertypro.ng/agent/outstanding-real-estate-limited
new_listing,Lekki Phase 1,5,5 Bedroom Detached Triplex With Study Room Aare New Bodija Bodija Ibadan Oyo 5 Bedroom Detached Triplex With Study Room / House FOR SALE,,175000000,,https://propertypro.ng/agent/ayomide-oseni
new_listing,Victoria Island,5,"5 Bedroom Apartment 4th Avenue, 3rd Close, Federal Housing Estate (malaysia Estate) Oshimili North Delta 5 Bedroom Apartment / House FOR SALE",,500000000,,https://propertypro.ng/agent/chrysla-development
new_listing,Lekki Phase 1,,Land Lekki Phase 1 Lekki Lagos Land / Land FOR Sale,,4000000000,,https://propertypro.ng/agent/chigold-homes-property-limited
new_listing,Lekki Phase 1,,Residential Or Commercial Land Lekki Phase Proper By Admiralty Lekki Phase 1 Lekki Lagos Residential Or Commercial Land / Land FOR Sale,,1200000000,,https://propertypro.ng/agent/real-and-reliable-homes-limited1
new_listing,Victoria Island,3,Exquisite 3 Bedroom Apartment Oniru Victoria Island Lagos Exquisite 3 Bedroom Apartment / Flat Apartment FOR Sale,,199000000,,https://propertypro.ng/agent/torys-realty2
price_change,Victoria Island,1,1 Bedroom Apartment Victoria Island Lagos 1 Bedroom Apartment / Flat Apartment FOR Sale,750000000,300000000,-60.0,https://propertypro.ng/agent/sunwealth-real-estate-limited
new_listing,Victoria Island,2,Luxury 2 Bedroom Flat Lekki Lagos Luxury 2 Bedroom Flat / Flat / Apartment FOR SHORTLET,,170000,,https://propertypro.ng/agent/onyinye-uche
new_listing,Victoria Island,,Fenced Dry Land Idowu Taylor Victoria Island Lagos Fenced Dry Land / Land FOR Sale,,2300000,,https://propertypro.ng/property/land-for-sale-idowu-taylor-victoria-island-lagos-8NVXH
price_change,Victoria Island,,1768sqm Land Eko Atlantic City Victoria Island Lagos 1768sqm Land / Land FOR Sale,25000000,3000000,-88.0,https://propertypro.ng/agent/spudy-global-limited
price_change,Victoria Island,,Land Eko Atlantic City Victoria Island Lagos Land / Land FOR Sale,16000000,7000000000,43650.0,https://propertypro.ng/agent/projects-and-services
new_listing,Victoria Island,,"Luxurious 6 Bedroom Detached Duplex With Bq Katampe Ext Diplomatic Zone, Katampe Extension Katampe Abuja Luxurious 6 Bedroom Detached Duplex With Bq / House FOR SALE",,750000000,,https://propertypro.ng/agent/ademeso-olalekan-ademola
new_listing,Ikeja GRA,3,Must See 12 Newly Built 3 Bedroom Apartment With Elevator + Pool Ikeja Gra Ikeja Lagos Newly Built 3 Bedroom Apartment With Elevator + Pool / Flat / Apartment FOR SALE,,400000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-2QDQT
new_listing,Ikeja GRA,3,Must See 17 3 Bedroom Apartment With Bq Ikeja Gra Ikeja Lagos 3 Bedroom Apartment With Bq / Flat Apartment FOR Sale,,400000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-4QBDP
new_listing,Ikeja GRA,4,Must See 14 Newly Built 4 Bedroom Apartment Ikeja Gra Ikeja Lagos Newly Built 4 Bedroom Apartment / Flat Apartment FOR Sale,,400000000,,https://propertypro.ng/property/4-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-3PTGZ
new_listing,Ikeja GRA,3,Must See 14 Well Finished 3 Bedroom Apartment With Bq Ikeja Gra Ikeja Lagos Well Finished 3 Bedroom Apartment With Bq / Flat Apartment FOR Sale,,400000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-2PTHW
new_listing,Ikeja GRA,4,Must See 15 4 Bedroom Apartment Ikeja Gra Ikeja Lagos 4 Bedroom Apartment / Flat Apartment FOR Sale,,550000000,,https://propertypro.ng/property/4-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-1PVQF
new_listing,Ikeja GRA,3,Must See 16 Modern 3 Bedroom Apartment With Bq Ikeja Gra Ikeja Lagos Modern 3 Bedroom Apartment With Bq / Flat Apartment FOR Sale,,500000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-4PTHC
new_listing,Ikeja GRA,3,Must See 15 Ultra Modern 3 Bedroom Apartment Ikeja Gra Ikeja Lagos Ultra Modern 3 Bedroom Apartment / Flat Apartment FOR Sale,,400000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-0PTHW
new_listing,Ikeja GRA,3,16 Well Built 3 Bedroom Ikeja Gra Ikeja Lagos Well Built 3 Bedroom / Flat Apartment FOR Sale,,390000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-4QFMP
new_listing,Ikeja GRA,3,16 Newly Built 3 Bedrooms Apartment In A Secure Area Ikeja Gra Ikeja Lagos Newly Built 3 Bedrooms Apartment In A Secure Area / Flat Apartment FOR Sale,,400000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-8QFMU
new_listing,Ikeja GRA,3,28 Newly Built 3 Bedroom Apartment With Bq And Elevator Oduduwa Ikeja Gra Ikeja Lagos Newly Built 3 Bedroom Apartment With Bq And Elevator / Flat Apartment FOR Sale,,400000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-oduduwa-ikeja-gra-ikeja-lagos-0QFMU
new_listing,Ikeja GRA,3,6 3 Bedroom Flat Ikeja Gra Ikeja Lagos 3 Bedroom Flat / Flat Apartment FOR Sale,,250000000,,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-6PRDW
price_change,Ikeja GRA,4,A 4 Bedroom Semi Detached Duplex Off Ikeja Gra Ikeja Gra Ikeja Lagos A 4 Bedroom Semi Detached Duplex Off Ikeja Gra / Flat Apartment FOR Rent,40000000,25000000,-37.5,https://propertypro.ng/agent/muyiwa-awobifa
new_listing,Ikeja GRA,2,2 Bedroom Apartment Ikate Lekki Lagos 2 Bedroom Apartment / Flat / Apartment FOR SALE,,140000000,,https://propertypro.ng/agent/omorodion-sonia
price_change,Maitama,,350 Sqm Residential Land For Sale Maitama Abuja 350 Sqm Residential Land For Sale / Land FOR Sale,190000000,50000000,-73.7,https://propertypro.ng/agent/vnt-global-services-limited
price_change,Maitama,3,3 Bedroom Flat Maitama Abuja 3 Bedroom Flat / Flat Apartment FOR Sale,2500000,179000999,7060.0,https://propertypro.ng/agent/chikodi-atiah
new_listing,Asokoro,2,2 Bedroom Flat Asokoro Main Asokoro Abuja 2 Bedroom Flat / Flat Apartment FOR Rent,,14000000,,https://propertypro.ng/agent/first-capital-city-realtors2
price_change,Maitama,5,Luxury 5 Bedroom Fully Detached Duplex With Bq Thomas Estate Ajah Lagos Luxury 5 Bedroom Fully Detached Duplex With Bq / House FOR SALE,450000000,260000000,-42.2,https://propertypro.ng/agent/christian-onichakwe
new_listing,Maitama,1,1bedroom Flat For Rent In Maitama Maitama District Maitama Abuja 1bedroom Flat For Rent In Maitama / Flat Apartment FOR Rent,,3500000,,https://propertypro.ng/property/1-bedroom-flat-apartment-for-rent-maitama-district-maitama-abuja-0QFMY
price_change,Maitama,1,1bedroom Flat For Rent In Maitama Maitama District Maitama Abuja 1bedroom Flat For Rent In Maitama / Flat Apartment FOR Rent,8000000,3500000,-56.2,https://propertypro.ng/agent/jay-realtor
new_listing,Maitama,,Residential Plot Of Land 2432 Sqm Cofo Maitama Main Maitama Abuja Residential Plot Of Land 2432 Sqm Cofo / Land FOR Sale,,2700000000,,https://propertypro.ng/agent/citymate-integrated
new_listing,Banana Island,3,"Bayview Estate Banana Island 2 units of Well maintained Waterfront 3 Bedroom apartments on the 1st and 2nd Floor. 3 Beds, 3 Toilets, 2 Baths - Gym - Swimming Pool - Serviced Price:",,900000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3687505-3-bedroom-waterfront-apartment
new_listing,Banana Island,4,"email you when a new listing matches Flats for Sale in Banana Island, Ikoyi, Lagos. Your email address Get alerts Alert on Manage alerts Premium Plus Top promoted listing 8 photos",,4500000000,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/banana-island/3583606-3-bedroom-apartment
